Ano,Trimestre,Departamento,Municipio,N Accesos fijos a internet,poblacion Dane,Indice
2019,4,AMAZONAS,LA VICTORIA,0,652,0
2019,1,BOYACA,SOTAQUIRA,141,8237,0.0171
2020,1,NORTE DE SANTANDER,SAN CALIXTO,35,12174,0.0029
2020,1,ANTIOQUIA,BELMIRA,398,6116,0.0651
2019,2,BOLIVAR,TALAIGUA NUEVO,143,13106,0.0109
2019,3,CAQUETA,PUERTO RICO,647,26329,0.0246
2019,2,ANTIOQUIA,VALDIVIA,583,13950,0.0418
2019,3,ANTIOQUIA,SAN FRANCISCO,247,5776,0.0428
2019,4,SANTANDER,ENCISO,16,3444,0.0046
2019,2,BOYACA,TOGsI,41,4330,0.0095
2019,4,BOYACA,GAMEZA,26,4845,0.0054
2019,1,SUCRE,SAN MARCOS,1139,59254,0.0192
2019,1,SUCRE,SAN PEDRO,16,18920,8e-04
2018,4,CAUCA,PATIA,1043,36848,0.0283
2018,2,GUAINIA,MORICHAL,0,908,0
2018,3,ANTIOQUIA,URRAO,1599,30127,0.0531
2019,1,ANTIOQUIA,LA UNION,2183,21963,0.0994
2019,3,MAGDALENA,SANTA ANA,25,25750,0.001
2019,2,CHOCO,LLORO,23,9850,0.0023
2019,4,ANTIOQUIA,LA PINTADA,975,8298,0.1175
2019,1,ANTIOQUIA,CONCEPCION,254,4760,0.0534
2020,1,BOYACA,GAMEZA,31,4851,0.0064
2020,1,LA GUAJIRA,FONSECA,3819,44544,0.0857
2019,3,META,SAN JUANITO,33,1266,0.0261
2019,1,ANTIOQUIA,BURITICA,446,9502,0.0469
2019,2,CALDAS,RISARALDA,378,10640,0.0355
2019,3,BOLIVAR,CALAMAR,661,22794,0.029
2019,4,CHOCO,ACANDI,712,14085,0.0506
2020,1,ARAUCA,SARAVENA,3444,63004,0.0547
2019,2,CUNDINAMARCA,UNE,159,7144,0.0223
2019,1,SUCRE,EL ROBLE,15,10215,0.0015
2019,4,NARINO,LEIVA,12,9653,0.0012
2018,3,SANTANDER,SURATA,45,3975,0.0113
2019,3,ANTIOQUIA,VIGIA DEL FUERTE,186,9265,0.0201
2019,4,ATLANTICO,USIACURI,10,12743,8e-04
2018,4,CUNDINAMARCA,GUASCA,786,15348,0.0512
2020,1,CALDAS,SALAMINA,902,19393,0.0465
2019,2,SUCRE,SINCELEJO,37020,286635,0.1292
2020,1,BOLIVAR,SAN MARTIN DE LOBA,43,14897,0.0029
2019,3,SANTANDER,ARATOCA,265,8368,0.0317
2018,4,CHOCO,ISTMINA,2143,30742,0.0697
2018,4,AMAZONAS,LA CHORRERA,50,2967,0.0169
2019,3,NARINO,CORDOBA,161,15496,0.0104
2019,1,MAGDALENA,FUNDACION,2749,68681,0.04
2020,1,HUILA,ELIAS,8,4300,0.0019
2018,3,CUNDINAMARCA,GACHALA,128,4436,0.0289
2018,4,BOYACA,GUAYATA,82,3400,0.0241
2019,4,MAGDALENA,CONCORDIA,8,10908,7e-04
2019,3,CESAR,PUEBLO BELLO,21,28298,7e-04
2020,1,NORTE DE SANTANDER,LABATECA,63,6574,0.0096
2019,4,BOLIVAR,SOPLAVIENTO,61,10733,0.0057
2019,3,NARINO,CUASPUD,144,9199,0.0157
